|Period ID|Period start|Period end|Race|Count of race in period|
|:-:|:-:|:-:|:-:|:-:|
|4|2010-04-08|2010-04-21|Z|1|
|4|2010-04-08|2010-04-21|T|1|
|4|2010-04-08|2010-04-21|P|1|
|5|2010-04-22|2010-05-05|Z|2|
|5|2010-04-22|2010-05-05|T|1|
|5|2010-04-22|2010-05-05|P|1|
|6|2010-05-06|2010-05-19|Z|3|
|6|2010-05-06|2010-05-19|T|5|
|6|2010-05-06|2010-05-19|P|5|
|7|2010-05-20|2010-06-02|Z|3|
|7|2010-05-20|2010-06-02|T|5|
|7|2010-05-20|2010-06-02|P|5|
|8|2010-06-03|2010-06-16|Z|4|
|8|2010-06-03|2010-06-16|T|5|
|8|2010-06-03|2010-06-16|P|5|
|9|2010-06-17|2010-06-30|Z|4|
|9|2010-06-17|2010-06-30|T|5|
|9|2010-06-17|2010-06-30|P|5|
|10|2010-07-01|2010-07-14|Z|6|
|10|2010-07-01|2010-07-14|T|6|
|10|2010-07-01|2010-07-14|P|7|
|11|2010-07-15|2010-07-28|Z|6|
|11|2010-07-15|2010-07-28|T|6|
|11|2010-07-15|2010-07-28|P|7|
|12|2010-07-29|2010-08-11|Z|6|
|12|2010-07-29|2010-08-11|T|6|
|12|2010-07-29|2010-08-11|P|7|
|13|2010-08-12|2010-08-25|Z|8|
|13|2010-08-12|2010-08-25|T|7|
|13|2010-08-12|2010-08-25|P|8|
|14|2010-08-26|2010-09-08|Z|8|
|14|2010-08-26|2010-09-08|T|8|
|14|2010-08-26|2010-09-08|P|11|
|15|2010-09-09|2010-09-22|Z|10|
|15|2010-09-09|2010-09-22|T|10|
|15|2010-09-09|2010-09-22|P|11|
|16|2010-09-23|2010-10-06|Z|10|
|16|2010-09-23|2010-10-06|T|10|
|16|2010-09-23|2010-10-06|P|11|
|17|2010-10-07|2010-10-20|Z|12|
|17|2010-10-07|2010-10-20|T|10|
|17|2010-10-07|2010-10-20|P|11|
|18|2010-10-21|2010-11-03|Z|12|
|18|2010-10-21|2010-11-03|T|11|
|18|2010-10-21|2010-11-03|P|11|
|19|2010-11-04|2010-11-17|Z|13|
|19|2010-11-04|2010-11-17|T|12|
|19|2010-11-04|2010-11-17|P|12|
|20|2010-11-18|2010-12-01|Z|13|
|20|2010-11-18|2010-12-01|T|12|
|20|2010-11-18|2010-12-01|P|12|
|21|2010-12-02|2010-12-15|Z|13|
|21|2010-12-02|2010-12-15|T|12|
|21|2010-12-02|2010-12-15|P|12|
|22|2010-12-16|2010-12-29|Z|13|
|22|2010-12-16|2010-12-29|T|12|
|22|2010-12-16|2010-12-29|P|12|
|23|2010-12-30|2011-01-12|Z|13|
|23|2010-12-30|2011-01-12|T|13|
|23|2010-12-30|2011-01-12|P|16|
|24|2011-01-13|2011-01-26|Z|13|
|24|2011-01-13|2011-01-26|T|13|
|24|2011-01-13|2011-01-26|P|17|
|25|2011-01-27|2011-02-09|Z|13|
|25|2011-01-27|2011-02-09|T|14|
|25|2011-01-27|2011-02-09|P|17|
|26|2011-02-10|2011-02-23|Z|13|
|26|2011-02-10|2011-02-23|T|14|
|26|2011-02-10|2011-02-23|P|20|
