|Period ID|Period start|Period end|Race|Count of race in period|
|:-:|:-:|:-:|:-:|:-:|
|1|2010-02-25|2010-03-10|Z|14|
|1|2010-02-25|2010-03-10|T|11|
|1|2010-02-25|2010-03-10|S|1|
|1|2010-02-25|2010-03-10|P|19|
|2|2010-03-11|2010-03-24|Z|28|
|2|2010-03-11|2010-03-24|T|22|
|2|2010-03-11|2010-03-24|S|1|
|2|2010-03-11|2010-03-24|P|22|
|3|2010-03-25|2010-04-07|Z|40|
|3|2010-03-25|2010-04-07|T|26|
|3|2010-03-25|2010-04-07|R|1|
|3|2010-03-25|2010-04-07|P|33|
|4|2010-04-08|2010-04-21|Z|36|
|4|2010-04-08|2010-04-21|T|27|
|4|2010-04-08|2010-04-21|R|1|
|4|2010-04-08|2010-04-21|P|36|
|5|2010-04-22|2010-05-05|Z|33|
|5|2010-04-22|2010-05-05|T|29|
|5|2010-04-22|2010-05-05|R|1|
|5|2010-04-22|2010-05-05|P|37|
|6|2010-05-06|2010-05-19|Z|39|
|6|2010-05-06|2010-05-19|T|27|
|6|2010-05-06|2010-05-19|S|1|
|6|2010-05-06|2010-05-19|R|1|
|6|2010-05-06|2010-05-19|P|32|
|7|2010-05-20|2010-06-02|Z|40|
|7|2010-05-20|2010-06-02|T|27|
|7|2010-05-20|2010-06-02|S|1|
|7|2010-05-20|2010-06-02|R|1|
|7|2010-05-20|2010-06-02|P|31|
|8|2010-06-03|2010-06-16|Z|41|
|8|2010-06-03|2010-06-16|T|27|
|8|2010-06-03|2010-06-16|S|1|
|8|2010-06-03|2010-06-16|R|1|
|8|2010-06-03|2010-06-16|P|30|
|9|2010-06-17|2010-06-30|Z|41|
|9|2010-06-17|2010-06-30|T|27|
|9|2010-06-17|2010-06-30|S|1|
|9|2010-06-17|2010-06-30|R|1|
|9|2010-06-17|2010-06-30|P|30|
|10|2010-07-01|2010-07-14|Z|40|
|10|2010-07-01|2010-07-14|T|26|
|10|2010-07-01|2010-07-14|S|1|
|10|2010-07-01|2010-07-14|R|1|
|10|2010-07-01|2010-07-14|P|32|
|11|2010-07-15|2010-07-28|Z|37|
|11|2010-07-15|2010-07-28|T|28|
|11|2010-07-15|2010-07-28|S|1|
|11|2010-07-15|2010-07-28|R|1|
|11|2010-07-15|2010-07-28|P|33|
|12|2010-07-29|2010-08-11|Z|34|
|12|2010-07-29|2010-08-11|T|30|
|12|2010-07-29|2010-08-11|P|36|
|13|2010-08-12|2010-08-25|Z|30|
|13|2010-08-12|2010-08-25|T|32|
|13|2010-08-12|2010-08-25|S|1|
|13|2010-08-12|2010-08-25|P|37|
|14|2010-08-26|2010-09-08|Z|28|
|14|2010-08-26|2010-09-08|T|35|
|14|2010-08-26|2010-09-08|P|37|
|15|2010-09-09|2010-09-22|Z|28|
|15|2010-09-09|2010-09-22|T|40|
|15|2010-09-09|2010-09-22|P|32|
|16|2010-09-23|2010-10-06|Z|24|
|16|2010-09-23|2010-10-06|T|40|
|16|2010-09-23|2010-10-06|R|1|
|16|2010-09-23|2010-10-06|P|35|
|17|2010-10-07|2010-10-20|Z|25|
|17|2010-10-07|2010-10-20|T|40|
|17|2010-10-07|2010-10-20|R|1|
|17|2010-10-07|2010-10-20|P|34|
|18|2010-10-21|2010-11-03|Z|28|
|18|2010-10-21|2010-11-03|T|38|
|18|2010-10-21|2010-11-03|R|1|
|18|2010-10-21|2010-11-03|P|33|
|19|2010-11-04|2010-11-17|Z|30|
|19|2010-11-04|2010-11-17|T|39|
|19|2010-11-04|2010-11-17|R|1|
|19|2010-11-04|2010-11-17|P|30|
|20|2010-11-18|2010-12-01|Z|32|
|20|2010-11-18|2010-12-01|T|40|
|20|2010-11-18|2010-12-01|R|1|
|20|2010-11-18|2010-12-01|P|27|
|21|2010-12-02|2010-12-15|Z|32|
|21|2010-12-02|2010-12-15|T|37|
|21|2010-12-02|2010-12-15|R|1|
|21|2010-12-02|2010-12-15|P|30|
|22|2010-12-16|2010-12-29|Z|31|
|22|2010-12-16|2010-12-29|T|39|
|22|2010-12-16|2010-12-29|R|1|
|22|2010-12-16|2010-12-29|P|29|
|23|2010-12-30|2011-01-12|Z|31|
|23|2010-12-30|2011-01-12|T|38|
|23|2010-12-30|2011-01-12|R|1|
|23|2010-12-30|2011-01-12|P|30|
|24|2011-01-13|2011-01-26|Z|31|
|24|2011-01-13|2011-01-26|T|38|
|24|2011-01-13|2011-01-26|R|1|
|24|2011-01-13|2011-01-26|P|30|
|25|2011-01-27|2011-02-09|Z|30|
|25|2011-01-27|2011-02-09|T|37|
|25|2011-01-27|2011-02-09|R|1|
|25|2011-01-27|2011-02-09|P|32|
|26|2011-02-10|2011-02-23|Z|29|
|26|2011-02-10|2011-02-23|T|37|
|26|2011-02-10|2011-02-23|P|34|
|27|2011-02-24|2011-03-09|Z|29|
|27|2011-02-24|2011-03-09|T|37|
|27|2011-02-24|2011-03-09|P|34|
|28|2011-03-10|2011-03-23|Z|31|
|28|2011-03-10|2011-03-23|T|37|
|28|2011-03-10|2011-03-23|P|32|
|29|2011-03-24|2011-04-06|Z|30|
|29|2011-03-24|2011-04-06|T|39|
|29|2011-03-24|2011-04-06|P|31|
|30|2011-04-07|2011-04-20|Z|32|
|30|2011-04-07|2011-04-20|T|38|
|30|2011-04-07|2011-04-20|P|30|
|31|2011-04-21|2011-05-04|Z|32|
|31|2011-04-21|2011-05-04|T|38|
|31|2011-04-21|2011-05-04|P|30|
|32|2011-05-05|2011-05-18|Z|31|
|32|2011-05-05|2011-05-18|T|38|
|32|2011-05-05|2011-05-18|P|31|
|33|2011-05-19|2011-06-01|Z|31|
|33|2011-05-19|2011-06-01|T|38|
|33|2011-05-19|2011-06-01|P|31|
|34|2011-06-02|2011-06-15|Z|32|
|34|2011-06-02|2011-06-15|T|38|
|34|2011-06-02|2011-06-15|P|30|
|35|2011-06-16|2011-06-29|Z|33|
|35|2011-06-16|2011-06-29|T|36|
|35|2011-06-16|2011-06-29|P|31|
|36|2011-06-30|2011-07-13|Z|31|
|36|2011-06-30|2011-07-13|T|37|
|36|2011-06-30|2011-07-13|P|32|
|37|2011-07-14|2011-07-27|Z|30|
|37|2011-07-14|2011-07-27|T|37|
|37|2011-07-14|2011-07-27|P|33|
|38|2011-07-28|2011-08-10|Z|34|
|38|2011-07-28|2011-08-10|T|34|
|38|2011-07-28|2011-08-10|P|32|
|39|2011-08-11|2011-08-24|Z|32|
|39|2011-08-11|2011-08-24|T|34|
|39|2011-08-11|2011-08-24|P|34|
|40|2011-08-25|2011-09-07|Z|33|
|40|2011-08-25|2011-09-07|T|34|
|40|2011-08-25|2011-09-07|P|33|
|41|2011-09-08|2011-09-21|Z|33|
|41|2011-09-08|2011-09-21|T|34|
|41|2011-09-08|2011-09-21|P|33|
|42|2011-09-22|2011-10-05|Z|35|
|42|2011-09-22|2011-10-05|T|33|
|42|2011-09-22|2011-10-05|P|32|
|43|2011-10-06|2011-10-19|Z|34|
|43|2011-10-06|2011-10-19|T|33|
|43|2011-10-06|2011-10-19|P|33|
|44|2011-10-20|2011-11-02|Z|35|
|44|2011-10-20|2011-11-02|T|31|
|44|2011-10-20|2011-11-02|P|34|
|45|2011-11-03|2011-11-16|Z|34|
|45|2011-11-03|2011-11-16|T|32|
|45|2011-11-03|2011-11-16|P|34|
|46|2011-11-17|2011-11-30|Z|34|
|46|2011-11-17|2011-11-30|T|31|
|46|2011-11-17|2011-11-30|P|35|
|47|2011-12-01|2011-12-14|Z|35|
|47|2011-12-01|2011-12-14|T|31|
|47|2011-12-01|2011-12-14|P|34|
|48|2011-12-15|2011-12-28|Z|33|
|48|2011-12-15|2011-12-28|T|32|
|48|2011-12-15|2011-12-28|P|35|
|49|2011-12-29|2012-01-11|Z|34|
|49|2011-12-29|2012-01-11|T|30|
|49|2011-12-29|2012-01-11|P|36|
|50|2012-01-12|2012-01-25|Z|34|
|50|2012-01-12|2012-01-25|T|28|
|50|2012-01-12|2012-01-25|P|38|
|51|2012-01-26|2012-02-08|Z|36|
|51|2012-01-26|2012-02-08|T|27|
|51|2012-01-26|2012-02-08|P|37|
|52|2012-02-09|2012-02-22|Z|36|
|52|2012-02-09|2012-02-22|T|26|
|52|2012-02-09|2012-02-22|P|38|
|53|2012-02-23|2012-03-07|Z|37|
|53|2012-02-23|2012-03-07|T|27|
|53|2012-02-23|2012-03-07|P|36|
|54|2012-03-08|2012-03-21|Z|36|
|54|2012-03-08|2012-03-21|T|26|
|54|2012-03-08|2012-03-21|P|38|
|55|2012-03-22|2012-04-04|Z|35|
|55|2012-03-22|2012-04-04|T|28|
|55|2012-03-22|2012-04-04|P|37|
|56|2012-04-05|2012-04-18|Z|35|
|56|2012-04-05|2012-04-18|T|30|
|56|2012-04-05|2012-04-18|P|35|
|57|2012-04-19|2012-05-02|Z|33|
|57|2012-04-19|2012-05-02|T|30|
|57|2012-04-19|2012-05-02|P|37|
|58|2012-05-03|2012-05-16|Z|35|
|58|2012-05-03|2012-05-16|T|30|
|58|2012-05-03|2012-05-16|S|1|
|58|2012-05-03|2012-05-16|P|34|
|59|2012-05-17|2012-05-30|Z|33|
|59|2012-05-17|2012-05-30|T|32|
|59|2012-05-17|2012-05-30|S|1|
|59|2012-05-17|2012-05-30|P|34|
|60|2012-05-31|2012-06-13|Z|33|
|60|2012-05-31|2012-06-13|T|31|
|60|2012-05-31|2012-06-13|S|1|
|60|2012-05-31|2012-06-13|P|35|
|61|2012-06-14|2012-06-27|Z|34|
|61|2012-06-14|2012-06-27|T|30|
|61|2012-06-14|2012-06-27|S|1|
|61|2012-06-14|2012-06-27|P|35|
|62|2012-06-28|2012-07-11|Z|35|
|62|2012-06-28|2012-07-11|T|29|
|62|2012-06-28|2012-07-11|S|1|
|62|2012-06-28|2012-07-11|P|35|
|63|2012-07-12|2012-07-25|Z|35|
|63|2012-07-12|2012-07-25|T|30|
|63|2012-07-12|2012-07-25|S|1|
|63|2012-07-12|2012-07-25|P|34|
|64|2012-07-26|2012-08-08|Z|35|
|64|2012-07-26|2012-08-08|T|29|
|64|2012-07-26|2012-08-08|S|1|
|64|2012-07-26|2012-08-08|P|35|
|65|2012-08-09|2012-08-22|Z|35|
|65|2012-08-09|2012-08-22|T|28|
|65|2012-08-09|2012-08-22|S|1|
|65|2012-08-09|2012-08-22|P|36|
|66|2012-08-23|2012-09-05|Z|34|
|66|2012-08-23|2012-09-05|T|27|
|66|2012-08-23|2012-09-05|S|1|
|66|2012-08-23|2012-09-05|P|38|
|67|2012-09-06|2012-09-19|Z|33|
|67|2012-09-06|2012-09-19|T|28|
|67|2012-09-06|2012-09-19|S|1|
|67|2012-09-06|2012-09-19|P|38|
|68|2012-09-20|2012-10-03|Z|33|
|68|2012-09-20|2012-10-03|T|27|
|68|2012-09-20|2012-10-03|S|1|
|68|2012-09-20|2012-10-03|P|39|
|69|2012-10-04|2012-10-17|Z|34|
|69|2012-10-04|2012-10-17|T|27|
|69|2012-10-04|2012-10-17|S|1|
|69|2012-10-04|2012-10-17|P|38|
