|Period ID|Period start|Period end|Race|Count of race in period|
|:-:|:-:|:-:|:-:|:-:|
|4|2010-04-08|2010-04-21|Z|1|
|4|2010-04-08|2010-04-21|T|1|
|4|2010-04-08|2010-04-21|P|1|
|5|2010-04-22|2010-05-05|Z|2|
|5|2010-04-22|2010-05-05|T|1|
|5|2010-04-22|2010-05-05|P|2|
|6|2010-05-06|2010-05-19|Z|6|
|6|2010-05-06|2010-05-19|T|4|
|6|2010-05-06|2010-05-19|P|3|
|7|2010-05-20|2010-06-02|Z|7|
|7|2010-05-20|2010-06-02|T|6|
|7|2010-05-20|2010-06-02|P|5|
|8|2010-06-03|2010-06-16|Z|7|
|8|2010-06-03|2010-06-16|T|6|
|8|2010-06-03|2010-06-16|P|5|
|9|2010-06-17|2010-06-30|Z|7|
|9|2010-06-17|2010-06-30|T|6|
|9|2010-06-17|2010-06-30|P|5|
|10|2010-07-01|2010-07-14|Z|7|
|10|2010-07-01|2010-07-14|T|6|
|10|2010-07-01|2010-07-14|P|7|
|11|2010-07-15|2010-07-28|Z|7|
|11|2010-07-15|2010-07-28|T|6|
|11|2010-07-15|2010-07-28|P|7|
|12|2010-07-29|2010-08-11|Z|9|
|12|2010-07-29|2010-08-11|T|12|
|12|2010-07-29|2010-08-11|P|15|
|13|2010-08-12|2010-08-25|Z|10|
|13|2010-08-12|2010-08-25|T|14|
|13|2010-08-12|2010-08-25|P|15|
|14|2010-08-26|2010-09-08|Z|15|
|14|2010-08-26|2010-09-08|T|20|
|14|2010-08-26|2010-09-08|P|25|
|15|2010-09-09|2010-09-22|Z|17|
|15|2010-09-09|2010-09-22|T|31|
|15|2010-09-09|2010-09-22|P|33|
|16|2010-09-23|2010-10-06|Z|17|
|16|2010-09-23|2010-10-06|T|31|
|16|2010-09-23|2010-10-06|P|33|
|17|2010-10-07|2010-10-20|Z|21|
|17|2010-10-07|2010-10-20|T|39|
|17|2010-10-07|2010-10-20|P|40|
|18|2010-10-21|2010-11-03|Z|23|
|18|2010-10-21|2010-11-03|T|43|
|18|2010-10-21|2010-11-03|P|34|
|19|2010-11-04|2010-11-17|Z|32|
|19|2010-11-04|2010-11-17|T|44|
|19|2010-11-04|2010-11-17|P|24|
|20|2010-11-18|2010-12-01|Z|28|
|20|2010-11-18|2010-12-01|T|45|
|20|2010-11-18|2010-12-01|P|27|
|21|2010-12-02|2010-12-15|Z|28|
|21|2010-12-02|2010-12-15|T|45|
|21|2010-12-02|2010-12-15|P|27|
|22|2010-12-16|2010-12-29|Z|27|
|22|2010-12-16|2010-12-29|T|46|
|22|2010-12-16|2010-12-29|P|27|
|23|2010-12-30|2011-01-12|Z|25|
|23|2010-12-30|2011-01-12|T|48|
|23|2010-12-30|2011-01-12|P|27|
|24|2011-01-13|2011-01-26|Z|27|
|24|2011-01-13|2011-01-26|T|46|
|24|2011-01-13|2011-01-26|P|27|
|25|2011-01-27|2011-02-09|Z|26|
|25|2011-01-27|2011-02-09|T|45|
|25|2011-01-27|2011-02-09|P|29|
|26|2011-02-10|2011-02-23|Z|25|
|26|2011-02-10|2011-02-23|T|46|
|26|2011-02-10|2011-02-23|P|29|
