|Period ID|Period start|Period end|Race|Count of race in period|
|:-:|:-:|:-:|:-:|:-:|
|1|2010-02-25|2010-03-10|P|1|
|2|2010-03-11|2010-03-24|Z|1|
|2|2010-03-11|2010-03-24|T|1|
|2|2010-03-11|2010-03-24|P|2|
|3|2010-03-25|2010-04-07|Z|6|
|3|2010-03-25|2010-04-07|T|3|
|3|2010-03-25|2010-04-07|P|3|
|4|2010-04-08|2010-04-21|Z|10|
|4|2010-04-08|2010-04-21|T|10|
|4|2010-04-08|2010-04-21|S|1|
|4|2010-04-08|2010-04-21|R|2|
|4|2010-04-08|2010-04-21|P|15|
|5|2010-04-22|2010-05-05|Z|12|
|5|2010-04-22|2010-05-05|T|14|
|5|2010-04-22|2010-05-05|S|1|
|5|2010-04-22|2010-05-05|R|3|
|5|2010-04-22|2010-05-05|P|16|
|6|2010-05-06|2010-05-19|Z|12|
|6|2010-05-06|2010-05-19|T|21|
|6|2010-05-06|2010-05-19|S|1|
|6|2010-05-06|2010-05-19|R|3|
|6|2010-05-06|2010-05-19|P|20|
|7|2010-05-20|2010-06-02|Z|12|
|7|2010-05-20|2010-06-02|T|21|
|7|2010-05-20|2010-06-02|S|1|
|7|2010-05-20|2010-06-02|R|3|
|7|2010-05-20|2010-06-02|P|20|
|8|2010-06-03|2010-06-16|Z|17|
|8|2010-06-03|2010-06-16|T|24|
|8|2010-06-03|2010-06-16|S|2|
|8|2010-06-03|2010-06-16|R|3|
|8|2010-06-03|2010-06-16|P|22|
|9|2010-06-17|2010-06-30|Z|17|
|9|2010-06-17|2010-06-30|T|24|
|9|2010-06-17|2010-06-30|S|2|
|9|2010-06-17|2010-06-30|R|3|
|9|2010-06-17|2010-06-30|P|22|
|10|2010-07-01|2010-07-14|Z|29|
|10|2010-07-01|2010-07-14|T|30|
|10|2010-07-01|2010-07-14|S|2|
|10|2010-07-01|2010-07-14|R|4|
|10|2010-07-01|2010-07-14|P|35|
|11|2010-07-15|2010-07-28|Z|32|
|11|2010-07-15|2010-07-28|T|28|
|11|2010-07-15|2010-07-28|S|1|
|11|2010-07-15|2010-07-28|R|3|
|11|2010-07-15|2010-07-28|P|36|
|12|2010-07-29|2010-08-11|Z|30|
|12|2010-07-29|2010-08-11|T|30|
|12|2010-07-29|2010-08-11|S|1|
|12|2010-07-29|2010-08-11|R|5|
|12|2010-07-29|2010-08-11|P|34|
|13|2010-08-12|2010-08-25|Z|25|
|13|2010-08-12|2010-08-25|T|34|
|13|2010-08-12|2010-08-25|S|1|
|13|2010-08-12|2010-08-25|R|5|
|13|2010-08-12|2010-08-25|P|35|
|14|2010-08-26|2010-09-08|Z|18|
|14|2010-08-26|2010-09-08|T|38|
|14|2010-08-26|2010-09-08|S|1|
|14|2010-08-26|2010-09-08|R|5|
|14|2010-08-26|2010-09-08|P|38|
|15|2010-09-09|2010-09-22|Z|16|
|15|2010-09-09|2010-09-22|T|38|
|15|2010-09-09|2010-09-22|S|1|
|15|2010-09-09|2010-09-22|R|4|
|15|2010-09-09|2010-09-22|P|41|
|16|2010-09-23|2010-10-06|Z|15|
|16|2010-09-23|2010-10-06|T|41|
|16|2010-09-23|2010-10-06|S|1|
|16|2010-09-23|2010-10-06|R|3|
|16|2010-09-23|2010-10-06|P|40|
|17|2010-10-07|2010-10-20|Z|18|
|17|2010-10-07|2010-10-20|T|42|
|17|2010-10-07|2010-10-20|S|1|
|17|2010-10-07|2010-10-20|R|2|
|17|2010-10-07|2010-10-20|P|37|
|18|2010-10-21|2010-11-03|Z|21|
|18|2010-10-21|2010-11-03|T|42|
|18|2010-10-21|2010-11-03|S|1|
|18|2010-10-21|2010-11-03|R|2|
|18|2010-10-21|2010-11-03|P|34|
|19|2010-11-04|2010-11-17|Z|24|
|19|2010-11-04|2010-11-17|T|36|
|19|2010-11-04|2010-11-17|S|1|
|19|2010-11-04|2010-11-17|R|2|
|19|2010-11-04|2010-11-17|P|37|
|20|2010-11-18|2010-12-01|Z|22|
|20|2010-11-18|2010-12-01|T|39|
|20|2010-11-18|2010-12-01|S|2|
|20|2010-11-18|2010-12-01|R|2|
|20|2010-11-18|2010-12-01|P|35|
|21|2010-12-02|2010-12-15|Z|24|
|21|2010-12-02|2010-12-15|T|40|
|21|2010-12-02|2010-12-15|S|1|
|21|2010-12-02|2010-12-15|R|2|
|21|2010-12-02|2010-12-15|P|33|
|22|2010-12-16|2010-12-29|Z|26|
|22|2010-12-16|2010-12-29|T|40|
|22|2010-12-16|2010-12-29|S|1|
|22|2010-12-16|2010-12-29|R|2|
|22|2010-12-16|2010-12-29|P|31|
|23|2010-12-30|2011-01-12|Z|27|
|23|2010-12-30|2011-01-12|T|39|
|23|2010-12-30|2011-01-12|S|1|
|23|2010-12-30|2011-01-12|R|1|
|23|2010-12-30|2011-01-12|P|32|
|24|2011-01-13|2011-01-26|Z|26|
|24|2011-01-13|2011-01-26|T|39|
|24|2011-01-13|2011-01-26|S|1|
|24|2011-01-13|2011-01-26|R|1|
|24|2011-01-13|2011-01-26|P|33|
|25|2011-01-27|2011-02-09|Z|25|
|25|2011-01-27|2011-02-09|T|39|
|25|2011-01-27|2011-02-09|S|1|
|25|2011-01-27|2011-02-09|R|1|
|25|2011-01-27|2011-02-09|P|34|
|26|2011-02-10|2011-02-23|Z|24|
|26|2011-02-10|2011-02-23|T|38|
