|Period ID|Period start|Period end|Race|Count of race in period|
|:-:|:-:|:-:|:-:|:-:|
|3|2010-03-25|2010-04-07|Z|1|
|3|2010-03-25|2010-04-07|T|1|
|3|2010-03-25|2010-04-07|P|1|
|4|2010-04-08|2010-04-21|Z|1|
|4|2010-04-08|2010-04-21|T|1|
|4|2010-04-08|2010-04-21|P|1|
|5|2010-04-22|2010-05-05|Z|5|
|5|2010-04-22|2010-05-05|T|2|
|5|2010-04-22|2010-05-05|P|3|
|6|2010-05-06|2010-05-19|Z|5|
|6|2010-05-06|2010-05-19|T|2|
|6|2010-05-06|2010-05-19|P|3|
|7|2010-05-20|2010-06-02|Z|5|
|7|2010-05-20|2010-06-02|T|2|
|7|2010-05-20|2010-06-02|P|3|
|8|2010-06-03|2010-06-16|Z|5|
|8|2010-06-03|2010-06-16|T|2|
|8|2010-06-03|2010-06-16|P|3|
|9|2010-06-17|2010-06-30|Z|5|
|9|2010-06-17|2010-06-30|T|2|
|9|2010-06-17|2010-06-30|P|3|
|10|2010-07-01|2010-07-14|Z|5|
|10|2010-07-01|2010-07-14|T|2|
|10|2010-07-01|2010-07-14|P|4|
|11|2010-07-15|2010-07-28|Z|5|
|11|2010-07-15|2010-07-28|T|3|
|11|2010-07-15|2010-07-28|R|1|
|11|2010-07-15|2010-07-28|P|4|
|12|2010-07-29|2010-08-11|Z|7|
|12|2010-07-29|2010-08-11|T|3|
|12|2010-07-29|2010-08-11|R|1|
|12|2010-07-29|2010-08-11|P|5|
|13|2010-08-12|2010-08-25|Z|7|
|13|2010-08-12|2010-08-25|T|3|
|13|2010-08-12|2010-08-25|R|1|
|13|2010-08-12|2010-08-25|P|5|
|14|2010-08-26|2010-09-08|Z|12|
|14|2010-08-26|2010-09-08|T|5|
|14|2010-08-26|2010-09-08|R|2|
|14|2010-08-26|2010-09-08|P|8|
|15|2010-09-09|2010-09-22|Z|12|
|15|2010-09-09|2010-09-22|T|6|
|15|2010-09-09|2010-09-22|R|2|
|15|2010-09-09|2010-09-22|P|11|
|16|2010-09-23|2010-10-06|Z|13|
|16|2010-09-23|2010-10-06|T|8|
|16|2010-09-23|2010-10-06|R|2|
|16|2010-09-23|2010-10-06|P|15|
|17|2010-10-07|2010-10-20|Z|13|
|17|2010-10-07|2010-10-20|T|12|
|17|2010-10-07|2010-10-20|R|2|
|17|2010-10-07|2010-10-20|P|15|
|18|2010-10-21|2010-11-03|Z|13|
|18|2010-10-21|2010-11-03|T|12|
|18|2010-10-21|2010-11-03|R|2|
|18|2010-10-21|2010-11-03|P|15|
|19|2010-11-04|2010-11-17|Z|16|
|19|2010-11-04|2010-11-17|T|13|
|19|2010-11-04|2010-11-17|R|2|
|19|2010-11-04|2010-11-17|P|15|
|20|2010-11-18|2010-12-01|Z|19|
|20|2010-11-18|2010-12-01|T|16|
|20|2010-11-18|2010-12-01|R|2|
|20|2010-11-18|2010-12-01|P|15|
|21|2010-12-02|2010-12-15|Z|21|
|21|2010-12-02|2010-12-15|T|16|
|21|2010-12-02|2010-12-15|R|2|
|21|2010-12-02|2010-12-15|P|15|
|22|2010-12-16|2010-12-29|Z|21|
|22|2010-12-16|2010-12-29|T|16|
|22|2010-12-16|2010-12-29|R|2|
|22|2010-12-16|2010-12-29|P|15|
|23|2010-12-30|2011-01-12|Z|23|
|23|2010-12-30|2011-01-12|T|16|
|23|2010-12-30|2011-01-12|R|2|
|23|2010-12-30|2011-01-12|P|15|
|24|2011-01-13|2011-01-26|Z|28|
|24|2011-01-13|2011-01-26|T|17|
|24|2011-01-13|2011-01-26|R|2|
|24|2011-01-13|2011-01-26|P|15|
|25|2011-01-27|2011-02-09|Z|30|
|25|2011-01-27|2011-02-09|T|17|
|25|2011-01-27|2011-02-09|R|2|
|25|2011-01-27|2011-02-09|P|15|
|26|2011-02-10|2011-02-23|Z|30|
|26|2011-02-10|2011-02-23|T|17|
|26|2011-02-10|2011-02-23|R|2|
|26|2011-02-10|2011-02-23|P|15|
|27|2011-02-24|2011-03-09|Z|30|
|27|2011-02-24|2011-03-09|T|17|
|27|2011-02-24|2011-03-09|R|3|
|27|2011-02-24|2011-03-09|P|15|
|28|2011-03-10|2011-03-23|Z|34|
|28|2011-03-10|2011-03-23|T|20|
|28|2011-03-10|2011-03-23|R|3|
|28|2011-03-10|2011-03-23|P|16|
|29|2011-03-24|2011-04-06|Z|34|
|29|2011-03-24|2011-04-06|T|20|
|29|2011-03-24|2011-04-06|R|3|
|29|2011-03-24|2011-04-06|P|17|
|30|2011-04-07|2011-04-20|Z|35|
|30|2011-04-07|2011-04-20|T|21|
|30|2011-04-07|2011-04-20|R|4|
|30|2011-04-07|2011-04-20|P|17|
|31|2011-04-21|2011-05-04|Z|35|
|31|2011-04-21|2011-05-04|T|21|
|31|2011-04-21|2011-05-04|R|4|
|31|2011-04-21|2011-05-04|P|17|
|32|2011-05-05|2011-05-18|Z|38|
|32|2011-05-05|2011-05-18|T|26|
|32|2011-05-05|2011-05-18|R|5|
|32|2011-05-05|2011-05-18|P|31|
|33|2011-05-19|2011-06-01|Z|37|
|33|2011-05-19|2011-06-01|T|26|
|33|2011-05-19|2011-06-01|R|5|
|33|2011-05-19|2011-06-01|P|32|
|34|2011-06-02|2011-06-15|Z|35|
|34|2011-06-02|2011-06-15|T|29|
|34|2011-06-02|2011-06-15|R|5|
|34|2011-06-02|2011-06-15|P|31|
|35|2011-06-16|2011-06-29|Z|33|
|35|2011-06-16|2011-06-29|T|29|
|35|2011-06-16|2011-06-29|R|6|
|35|2011-06-16|2011-06-29|P|32|
|36|2011-06-30|2011-07-13|Z|33|
|36|2011-06-30|2011-07-13|T|27|
|36|2011-06-30|2011-07-13|R|6|
|36|2011-06-30|2011-07-13|P|34|
|37|2011-07-14|2011-07-27|Z|33|
|37|2011-07-14|2011-07-27|T|28|
|37|2011-07-14|2011-07-27|R|4|
|37|2011-07-14|2011-07-27|P|35|
|38|2011-07-28|2011-08-10|Z|35|
|38|2011-07-28|2011-08-10|T|26|
|38|2011-07-28|2011-08-10|R|3|
|38|2011-07-28|2011-08-10|P|36|
|39|2011-08-11|2011-08-24|Z|35|
|39|2011-08-11|2011-08-24|T|27|
|39|2011-08-11|2011-08-24|R|2|
|39|2011-08-11|2011-08-24|P|36|
|40|2011-08-25|2011-09-07|Z|38|
|40|2011-08-25|2011-09-07|T|27|
|40|2011-08-25|2011-09-07|R|2|
|40|2011-08-25|2011-09-07|P|33|
|41|2011-09-08|2011-09-21|Z|37|
|41|2011-09-08|2011-09-21|T|27|
|41|2011-09-08|2011-09-21|R|2|
|41|2011-09-08|2011-09-21|P|34|
|42|2011-09-22|2011-10-05|Z|40|
|42|2011-09-22|2011-10-05|T|27|
|42|2011-09-22|2011-10-05|R|2|
|42|2011-09-22|2011-10-05|P|31|
|43|2011-10-06|2011-10-19|Z|40|
|43|2011-10-06|2011-10-19|T|27|
|43|2011-10-06|2011-10-19|R|2|
|43|2011-10-06|2011-10-19|P|31|
|44|2011-10-20|2011-11-02|Z|38|
|44|2011-10-20|2011-11-02|T|28|
|44|2011-10-20|2011-11-02|R|2|
|44|2011-10-20|2011-11-02|P|32|
|45|2011-11-03|2011-11-16|Z|38|
|45|2011-11-03|2011-11-16|T|28|
|45|2011-11-03|2011-11-16|R|2|
|45|2011-11-03|2011-11-16|P|32|
|46|2011-11-17|2011-11-30|Z|40|
|46|2011-11-17|2011-11-30|T|25|
|46|2011-11-17|2011-11-30|R|2|
|46|2011-11-17|2011-11-30|P|33|
|47|2011-12-01|2011-12-14|Z|40|
|47|2011-12-01|2011-12-14|T|24|
|47|2011-12-01|2011-12-14|R|2|
|47|2011-12-01|2011-12-14|P|34|
|48|2011-12-15|2011-12-28|Z|40|
|48|2011-12-15|2011-12-28|T|24|
|48|2011-12-15|2011-12-28|R|2|
|48|2011-12-15|2011-12-28|P|34|
|49|2011-12-29|2012-01-11|Z|40|
|49|2011-12-29|2012-01-11|T|24|
|49|2011-12-29|2012-01-11|R|2|
|49|2011-12-29|2012-01-11|P|34|
|50|2012-01-12|2012-01-25|Z|40|
|50|2012-01-12|2012-01-25|T|21|
|50|2012-01-12|2012-01-25|R|3|
|50|2012-01-12|2012-01-25|P|36|
|51|2012-01-26|2012-02-08|Z|37|
|51|2012-01-26|2012-02-08|T|24|
|51|2012-01-26|2012-02-08|R|3|
|51|2012-01-26|2012-02-08|P|36|
|52|2012-02-09|2012-02-22|Z|37|
|52|2012-02-09|2012-02-22|T|24|
|52|2012-02-09|2012-02-22|R|2|
|52|2012-02-09|2012-02-22|P|37|
|53|2012-02-23|2012-03-07|Z|37|
|53|2012-02-23|2012-03-07|T|25|
|53|2012-02-23|2012-03-07|R|2|
|53|2012-02-23|2012-03-07|P|36|
|54|2012-03-08|2012-03-21|Z|37|
|54|2012-03-08|2012-03-21|T|25|
|54|2012-03-08|2012-03-21|R|2|
