|Period ID|Period start|Period end|Race|Count of race in period|
|:-:|:-:|:-:|:-:|:-:|
|3|2010-03-25|2010-04-07|T|1|
|3|2010-03-25|2010-04-07|P|1|
|4|2010-04-08|2010-04-21|T|1|
|4|2010-04-08|2010-04-21|P|1|
|5|2010-04-22|2010-05-05|Z|2|
|5|2010-04-22|2010-05-05|T|1|
|5|2010-04-22|2010-05-05|P|1|
|6|2010-05-06|2010-05-19|Z|2|
|6|2010-05-06|2010-05-19|T|1|
|6|2010-05-06|2010-05-19|P|1|
|7|2010-05-20|2010-06-02|Z|2|
|7|2010-05-20|2010-06-02|T|1|
|7|2010-05-20|2010-06-02|P|1|
|8|2010-06-03|2010-06-16|Z|2|
|8|2010-06-03|2010-06-16|T|1|
|8|2010-06-03|2010-06-16|P|1|
|9|2010-06-17|2010-06-30|Z|2|
|9|2010-06-17|2010-06-30|T|1|
|9|2010-06-17|2010-06-30|P|1|
|10|2010-07-01|2010-07-14|Z|4|
|10|2010-07-01|2010-07-14|T|1|
|10|2010-07-01|2010-07-14|R|1|
|10|2010-07-01|2010-07-14|P|2|
|11|2010-07-15|2010-07-28|Z|4|
|11|2010-07-15|2010-07-28|T|1|
|11|2010-07-15|2010-07-28|R|1|
|11|2010-07-15|2010-07-28|P|2|
|12|2010-07-29|2010-08-11|Z|6|
|12|2010-07-29|2010-08-11|T|2|
|12|2010-07-29|2010-08-11|R|1|
|12|2010-07-29|2010-08-11|P|4|
|13|2010-08-12|2010-08-25|Z|7|
|13|2010-08-12|2010-08-25|T|4|
|13|2010-08-12|2010-08-25|R|1|
|13|2010-08-12|2010-08-25|P|4|
|14|2010-08-26|2010-09-08|Z|14|
|14|2010-08-26|2010-09-08|T|13|
|14|2010-08-26|2010-09-08|R|1|
|14|2010-08-26|2010-09-08|P|15|
|15|2010-09-09|2010-09-22|Z|16|
|15|2010-09-09|2010-09-22|T|21|
|15|2010-09-09|2010-09-22|R|1|
|15|2010-09-09|2010-09-22|P|23|
|16|2010-09-23|2010-10-06|Z|25|
|16|2010-09-23|2010-10-06|T|30|
|16|2010-09-23|2010-10-06|R|2|
|16|2010-09-23|2010-10-06|P|29|
|17|2010-10-07|2010-10-20|Z|31|
|17|2010-10-07|2010-10-20|T|35|
|17|2010-10-07|2010-10-20|R|2|
|17|2010-10-07|2010-10-20|P|32|
|18|2010-10-21|2010-11-03|Z|29|
|18|2010-10-21|2010-11-03|T|40|
