|Period ID|Period start|Period end|Race|Count of race in period|
|:-:|:-:|:-:|:-:|:-:|
|1|2010-02-25|2010-03-10|Z|1|
|2|2010-03-11|2010-03-24|Z|1|
|3|2010-03-25|2010-04-07|Z|1|
|4|2010-04-08|2010-04-21|Z|1|
|4|2010-04-08|2010-04-21|P|1|
|5|2010-04-22|2010-05-05|Z|2|
|5|2010-04-22|2010-05-05|P|1|
|6|2010-05-06|2010-05-19|Z|2|
|6|2010-05-06|2010-05-19|P|1|
|7|2010-05-20|2010-06-02|Z|2|
|7|2010-05-20|2010-06-02|P|2|
|8|2010-06-03|2010-06-16|Z|2|
|8|2010-06-03|2010-06-16|P|2|
|9|2010-06-17|2010-06-30|Z|2|
|9|2010-06-17|2010-06-30|P|2|
|10|2010-07-01|2010-07-14|Z|2|
|10|2010-07-01|2010-07-14|P|2|
|11|2010-07-15|2010-07-28|Z|2|
|11|2010-07-15|2010-07-28|T|1|
|11|2010-07-15|2010-07-28|P|2|
|12|2010-07-29|2010-08-11|Z|2|
|12|2010-07-29|2010-08-11|T|1|
|12|2010-07-29|2010-08-11|P|2|
|13|2010-08-12|2010-08-25|Z|2|
|13|2010-08-12|2010-08-25|T|2|
|13|2010-08-12|2010-08-25|P|2|
|14|2010-08-26|2010-09-08|Z|2|
|14|2010-08-26|2010-09-08|T|4|
|14|2010-08-26|2010-09-08|P|2|
|15|2010-09-09|2010-09-22|Z|2|
|15|2010-09-09|2010-09-22|T|6|
|15|2010-09-09|2010-09-22|P|2|
|16|2010-09-23|2010-10-06|Z|4|
|16|2010-09-23|2010-10-06|T|6|
|16|2010-09-23|2010-10-06|P|2|
|17|2010-10-07|2010-10-20|Z|4|
|17|2010-10-07|2010-10-20|T|6|
|17|2010-10-07|2010-10-20|P|3|
|18|2010-10-21|2010-11-03|Z|4|
|18|2010-10-21|2010-11-03|T|7|
|18|2010-10-21|2010-11-03|P|4|
|19|2010-11-04|2010-11-17|Z|5|
|19|2010-11-04|2010-11-17|T|8|
|19|2010-11-04|2010-11-17|P|4|
|20|2010-11-18|2010-12-01|Z|6|
|20|2010-11-18|2010-12-01|T|8|
|20|2010-11-18|2010-12-01|P|5|
|21|2010-12-02|2010-12-15|Z|6|
|21|2010-12-02|2010-12-15|T|8|
|21|2010-12-02|2010-12-15|P|5|
|22|2010-12-16|2010-12-29|Z|6|
|22|2010-12-16|2010-12-29|T|9|
|22|2010-12-16|2010-12-29|P|5|
|23|2010-12-30|2011-01-12|Z|7|
|23|2010-12-30|2011-01-12|T|11|
|23|2010-12-30|2011-01-12|P|8|
|24|2011-01-13|2011-01-26|Z|7|
|24|2011-01-13|2011-01-26|T|11|
|24|2011-01-13|2011-01-26|P|9|
|25|2011-01-27|2011-02-09|Z|8|
|25|2011-01-27|2011-02-09|T|11|
|25|2011-01-27|2011-02-09|P|10|
|26|2011-02-10|2011-02-23|Z|8|
|26|2011-02-10|2011-02-23|T|12|
|26|2011-02-10|2011-02-23|P|10|
|27|2011-02-24|2011-03-09|Z|11|
|27|2011-02-24|2011-03-09|T|12|
|27|2011-02-24|2011-03-09|P|10|
|28|2011-03-10|2011-03-23|Z|11|
|28|2011-03-10|2011-03-23|T|12|
|28|2011-03-10|2011-03-23|P|10|
|29|2011-03-24|2011-04-06|Z|12|
|29|2011-03-24|2011-04-06|T|12|
