|Period ID|Period start|Period end|Race|Count of race in period|
|:-:|:-:|:-:|:-:|:-:|
|3|2010-03-25|2010-04-07|Z|1|
|4|2010-04-08|2010-04-21|Z|1|
|5|2010-04-22|2010-05-05|Z|1|
|6|2010-05-06|2010-05-19|Z|1|
|7|2010-05-20|2010-06-02|Z|1|
|8|2010-06-03|2010-06-16|Z|1|
|9|2010-06-17|2010-06-30|Z|1|
|10|2010-07-01|2010-07-14|Z|1|
|11|2010-07-15|2010-07-28|Z|1|
|12|2010-07-29|2010-08-11|Z|1|
|13|2010-08-12|2010-08-25|Z|1|
|13|2010-08-12|2010-08-25|P|1|
|14|2010-08-26|2010-09-08|Z|1|
|14|2010-08-26|2010-09-08|P|1|
|15|2010-09-09|2010-09-22|Z|1|
|15|2010-09-09|2010-09-22|P|1|
|16|2010-09-23|2010-10-06|Z|1|
|16|2010-09-23|2010-10-06|P|1|
|17|2010-10-07|2010-10-20|Z|1|
|17|2010-10-07|2010-10-20|P|1|
|18|2010-10-21|2010-11-03|Z|1|
|18|2010-10-21|2010-11-03|T|1|
|18|2010-10-21|2010-11-03|P|1|
|19|2010-11-04|2010-11-17|Z|1|
|19|2010-11-04|2010-11-17|T|1|
|19|2010-11-04|2010-11-17|P|2|
|20|2010-11-18|2010-12-01|Z|1|
|20|2010-11-18|2010-12-01|T|1|
|20|2010-11-18|2010-12-01|P|2|
|21|2010-12-02|2010-12-15|Z|1|
|21|2010-12-02|2010-12-15|T|1|
|21|2010-12-02|2010-12-15|P|2|
|22|2010-12-16|2010-12-29|Z|1|
|22|2010-12-16|2010-12-29|T|1|
|22|2010-12-16|2010-12-29|P|2|
|23|2010-12-30|2011-01-12|Z|1|
|23|2010-12-30|2011-01-12|T|1|
|23|2010-12-30|2011-01-12|S|1|
|23|2010-12-30|2011-01-12|P|2|
|24|2011-01-13|2011-01-26|Z|1|
|24|2011-01-13|2011-01-26|T|1|
|24|2011-01-13|2011-01-26|S|1|
|24|2011-01-13|2011-01-26|P|2|
|25|2011-01-27|2011-02-09|Z|1|
|25|2011-01-27|2011-02-09|T|1|
|25|2011-01-27|2011-02-09|S|1|
|25|2011-01-27|2011-02-09|P|2|
|26|2011-02-10|2011-02-23|Z|2|
|26|2011-02-10|2011-02-23|T|1|
|26|2011-02-10|2011-02-23|S|1|
|26|2011-02-10|2011-02-23|P|2|
|27|2011-02-24|2011-03-09|Z|2|
|27|2011-02-24|2011-03-09|T|1|
|27|2011-02-24|2011-03-09|S|1|
|27|2011-02-24|2011-03-09|P|2|
|28|2011-03-10|2011-03-23|Z|3|
|28|2011-03-10|2011-03-23|T|6|
|28|2011-03-10|2011-03-23|S|1|
|28|2011-03-10|2011-03-23|P|11|
|29|2011-03-24|2011-04-06|Z|4|
|29|2011-03-24|2011-04-06|T|6|
|29|2011-03-24|2011-04-06|S|1|
|29|2011-03-24|2011-04-06|P|12|
|30|2011-04-07|2011-04-20|Z|4|
|30|2011-04-07|2011-04-20|T|6|
|30|2011-04-07|2011-04-20|S|1|
|30|2011-04-07|2011-04-20|P|12|
|31|2011-04-21|2011-05-04|Z|4|
|31|2011-04-21|2011-05-04|T|6|
|31|2011-04-21|2011-05-04|S|1|
|31|2011-04-21|2011-05-04|P|12|
|32|2011-05-05|2011-05-18|Z|4|
|32|2011-05-05|2011-05-18|T|6|
|32|2011-05-05|2011-05-18|S|1|
|32|2011-05-05|2011-05-18|P|12|
|33|2011-05-19|2011-06-01|Z|4|
|33|2011-05-19|2011-06-01|T|6|
|33|2011-05-19|2011-06-01|S|1|
|33|2011-05-19|2011-06-01|P|12|
|34|2011-06-02|2011-06-15|Z|4|
|34|2011-06-02|2011-06-15|T|6|
|34|2011-06-02|2011-06-15|S|1|
|34|2011-06-02|2011-06-15|P|12|
|35|2011-06-16|2011-06-29|Z|4|
|35|2011-06-16|2011-06-29|T|6|
|35|2011-06-16|2011-06-29|S|1|
|35|2011-06-16|2011-06-29|P|12|
|36|2011-06-30|2011-07-13|Z|4|
|36|2011-06-30|2011-07-13|T|6|
|36|2011-06-30|2011-07-13|S|1|
|36|2011-06-30|2011-07-13|P|12|
|37|2011-07-14|2011-07-27|Z|4|
|37|2011-07-14|2011-07-27|T|6|
|37|2011-07-14|2011-07-27|S|1|
|37|2011-07-14|2011-07-27|P|12|
|38|2011-07-28|2011-08-10|Z|4|
|38|2011-07-28|2011-08-10|T|6|
|38|2011-07-28|2011-08-10|S|1|
|38|2011-07-28|2011-08-10|P|13|
|39|2011-08-11|2011-08-24|Z|4|
|39|2011-08-11|2011-08-24|T|6|
|39|2011-08-11|2011-08-24|S|1|
|39|2011-08-11|2011-08-24|P|14|
|40|2011-08-25|2011-09-07|Z|6|
|40|2011-08-25|2011-09-07|T|6|
|40|2011-08-25|2011-09-07|S|1|
|40|2011-08-25|2011-09-07|P|15|
|41|2011-09-08|2011-09-21|Z|6|
|41|2011-09-08|2011-09-21|T|6|
|41|2011-09-08|2011-09-21|S|1|
|41|2011-09-08|2011-09-21|P|15|
|42|2011-09-22|2011-10-05|Z|6|
|42|2011-09-22|2011-10-05|T|6|
|42|2011-09-22|2011-10-05|S|1|
|42|2011-09-22|2011-10-05|P|15|
|43|2011-10-06|2011-10-19|Z|6|
|43|2011-10-06|2011-10-19|T|6|
|43|2011-10-06|2011-10-19|S|1|
|43|2011-10-06|2011-10-19|P|15|
|44|2011-10-20|2011-11-02|Z|6|
|44|2011-10-20|2011-11-02|T|6|
|44|2011-10-20|2011-11-02|S|1|
|44|2011-10-20|2011-11-02|P|15|
|45|2011-11-03|2011-11-16|Z|8|
|45|2011-11-03|2011-11-16|T|7|
|45|2011-11-03|2011-11-16|S|1|
|45|2011-11-03|2011-11-16|P|16|
|46|2011-11-17|2011-11-30|Z|8|
|46|2011-11-17|2011-11-30|T|7|
|46|2011-11-17|2011-11-30|S|1|
|46|2011-11-17|2011-11-30|P|16|
|47|2011-12-01|2011-12-14|Z|8|
|47|2011-12-01|2011-12-14|T|7|
|47|2011-12-01|2011-12-14|S|1|
|47|2011-12-01|2011-12-14|P|17|
|48|2011-12-15|2011-12-28|Z|8|
|48|2011-12-15|2011-12-28|T|7|
|48|2011-12-15|2011-12-28|S|1|
|48|2011-12-15|2011-12-28|P|17|
|49|2011-12-29|2012-01-11|Z|8|
|49|2011-12-29|2012-01-11|T|7|
|49|2011-12-29|2012-01-11|S|1|
|49|2011-12-29|2012-01-11|P|17|
|50|2012-01-12|2012-01-25|Z|8|
|50|2012-01-12|2012-01-25|T|7|
|50|2012-01-12|2012-01-25|S|1|
|50|2012-01-12|2012-01-25|P|17|
|51|2012-01-26|2012-02-08|Z|8|
|51|2012-01-26|2012-02-08|T|7|
|51|2012-01-26|2012-02-08|S|1|
|51|2012-01-26|2012-02-08|P|17|
|52|2012-02-09|2012-02-22|Z|8|
|52|2012-02-09|2012-02-22|T|7|
|52|2012-02-09|2012-02-22|S|1|
|52|2012-02-09|2012-02-22|P|17|
|53|2012-02-23|2012-03-07|Z|8|
|53|2012-02-23|2012-03-07|T|8|
|53|2012-02-23|2012-03-07|S|1|
|53|2012-02-23|2012-03-07|P|17|
|54|2012-03-08|2012-03-21|Z|8|
|54|2012-03-08|2012-03-21|T|9|
|54|2012-03-08|2012-03-21|S|1|
|54|2012-03-08|2012-03-21|P|17|
|55|2012-03-22|2012-04-04|Z|8|
|55|2012-03-22|2012-04-04|T|9|
|55|2012-03-22|2012-04-04|S|1|
|55|2012-03-22|2012-04-04|P|17|
|56|2012-04-05|2012-04-18|Z|9|
|56|2012-04-05|2012-04-18|T|9|
|56|2012-04-05|2012-04-18|S|1|
|56|2012-04-05|2012-04-18|P|17|
|57|2012-04-19|2012-05-02|Z|9|
|57|2012-04-19|2012-05-02|T|9|
|57|2012-04-19|2012-05-02|S|1|
|57|2012-04-19|2012-05-02|P|17|
|58|2012-05-03|2012-05-16|Z|9|
|58|2012-05-03|2012-05-16|T|9|
|58|2012-05-03|2012-05-16|S|1|
|58|2012-05-03|2012-05-16|P|17|
|59|2012-05-17|2012-05-30|Z|9|
|59|2012-05-17|2012-05-30|T|9|
|59|2012-05-17|2012-05-30|S|1|
|59|2012-05-17|2012-05-30|P|17|
|60|2012-05-31|2012-06-13|Z|12|
|60|2012-05-31|2012-06-13|T|9|
|60|2012-05-31|2012-06-13|S|1|
|60|2012-05-31|2012-06-13|P|20|
|61|2012-06-14|2012-06-27|Z|15|
|61|2012-06-14|2012-06-27|T|9|
|61|2012-06-14|2012-06-27|S|1|
|61|2012-06-14|2012-06-27|P|24|
|62|2012-06-28|2012-07-11|Z|15|
|62|2012-06-28|2012-07-11|T|9|
|62|2012-06-28|2012-07-11|S|1|
|62|2012-06-28|2012-07-11|P|24|
|63|2012-07-12|2012-07-25|Z|15|
|63|2012-07-12|2012-07-25|T|9|
|63|2012-07-12|2012-07-25|S|1|
|63|2012-07-12|2012-07-25|P|24|
